duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,bike_type
8,2020-10-01 16:49:00,2020-10-01 16:57:00,3030,34.051941,-118.24353,3022,34.04607,-118.233093,12289,standard
4,2020-10-01 16:53:00,2020-10-01 16:57:00,3035,34.048401,-118.260948,3064,34.046131,-118.257591,20209,standard
13,2020-10-01 16:56:00,2020-10-01 17:09:00,4410,34.063351,-118.296799,4410,34.063351,-118.296799,20030,standard
49,2020-10-01 16:57:00,2020-10-01 17:46:00,3026,34.063179,-118.24588,3078,34.064281,-118.238937,12314,standard
12,2020-10-01 16:57:00,2020-10-01 17:09:00,4457,34.100109,-118.289864,4473,34.07159,-118.282288,19217,electric
9,2020-10-01 16:58:00,2020-10-01 17:07:00,3064,34.046131,-118.257591,3075,34.04211,-118.256187,20122,standard
18,2020-10-01 17:02:00,2020-10-01 17:20:00,3045,34.028511,-118.256668,3042,34.049301,-118.238808,6716,standard
24,2020-10-01 17:07:00,2020-10-01 17:31:00,3005,34.0485,-118.258537,4444,34.061619,-118.305573,20213,standard
4,2020-10-01 17:10:00,2020-10-01 17:14:00,4478,34.10424,-118.273697,4478,34.10424,-118.273697,16342,electric
1,2020-10-01 17:13:00,2020-10-01 17:14:00,4510,34.077351,-118.264549,4510,34.077351,-118.264549,12076,standard
1,2020-10-01 17:14:00,2020-10-01 17:15:00,4510,34.077351,-118.264549,4510,34.077351,-118.264549,12115,standard
23,2020-10-01 17:15:00,2020-10-01 17:38:00,4478,34.10424,-118.273697,4474,34.110031,-118.287163,19823,electric
216,2020-10-01 17:17:00,2020-10-01 20:53:00,3005,34.0485,-118.258537,3006,34.04554,-118.256668,6408,standard
6,2020-10-01 17:18:00,2020-10-01 17:24:00,3062,34.047749,-118.243172,3077,34.039871,-118.250038,20026,standard
23,2020-10-01 17:19:00,2020-10-01 17:42:00,3067,34.045181,-118.250237,3067,34.045181,-118.250237,20237,standard
1,2020-10-01 17:19:00,2020-10-01 17:20:00,4474,34.110031,-118.287163,4474,34.110031,-118.287163,16610,electric
19,2020-10-01 17:20:00,2020-10-01 17:39:00,4474,34.110031,-118.287163,4510,34.077351,-118.264549,16610,electric
29,2020-10-01 17:21:00,2020-10-01 17:50:00,4416,34.157581,-118.38826,4497,34.15749,-118.39576,15235,smart
14,2020-10-01 17:21:00,2020-10-01 17:35:00,3026,34.063179,-118.24588,3078,34.064281,-118.238937,20125,standard
13,2020-10-01 17:27:00,2020-10-01 17:40:00,3062,34.047749,-118.243172,4512,34.043812,-118.264969,20177,standard
5,2020-10-01 17:29:00,2020-10-01 17:34:00,3011,34.04113,-118.267982,3008,34.046612,-118.262733,6594,standard
30,2020-10-01 17:29:00,2020-10-01 17:59:00,3005,34.0485,-118.258537,3000,0.0,0.0,12329,standard
737,2020-10-01 17:29:00,2020-10-02 05:46:00,3063,34.048038,-118.253738,3026,34.063179,-118.24588,6184,standard
85,2020-10-01 17:29:00,2020-10-01 18:54:00,3063,34.048038,-118.253738,3026,34.063179,-118.24588,12219,standard
7,2020-10-01 17:30:00,2020-10-01 17:37:00,4273,34.02586,-118.284103,4479,34.031502,-118.288742,12411,standard
3,2020-10-01 17:31:00,2020-10-01 17:34:00,3030,34.051941,-118.24353,3016,34.052898,-118.241562,20201,standard
158,2020-10-01 17:35:00,2020-10-01 20:13:00,3008,34.046612,-118.262733,3034,34.042061,-118.263382,19687,electric
5,2020-10-01 17:35:00,2020-10-01 17:40:00,3016,34.052898,-118.241562,3014,34.05661,-118.237213,6137,standard
53,2020-10-01 17:38:00,2020-10-01 18:31:00,4304,34.06258,-118.290092,4482,34.094372,-118.331009,6373,standard
9,2020-10-01 17:38:00,2020-10-01 17:47:00,4248,34.028351,-118.288673,4443,34.02166,-118.278687,12373,standard
8,2020-10-01 17:39:00,2020-10-01 17:47:00,4474,34.110031,-118.287163,4478,34.10424,-118.273697,19823,electric
11,2020-10-01 17:40:00,2020-10-01 17:51:00,4512,34.043812,-118.264969,4266,34.026291,-118.277687,20259,standard
8,2020-10-01 17:43:00,2020-10-01 17:51:00,3018,34.043732,-118.260139,3000,0.0,0.0,6175,standard
8,2020-10-01 17:44:00,2020-10-01 17:52:00,4479,34.031502,-118.288742,4273,34.02586,-118.284103,20175,standard
12,2020-10-01 17:45:00,2020-10-01 17:57:00,3063,34.048038,-118.253738,3033,34.040989,-118.255798,6352,standard
6,2020-10-01 17:46:00,2020-10-01 17:52:00,3005,34.0485,-118.258537,3047,34.039982,-118.266403,20246,standard
22,2020-10-01 17:47:00,2020-10-01 18:09:00,3046,34.052872,-118.24749,4446,34.05323,-118.278419,12002,standard
6,2020-10-01 17:57:00,2020-10-01 18:03:00,3018,34.043732,-118.260139,3067,34.045181,-118.250237,12039,standard
11,2020-10-01 17:57:00,2020-10-01 18:08:00,4401,34.075611,-118.291862,4304,34.06258,-118.290092,6706,standard
10,2020-10-01 17:57:00,2020-10-01 18:07:00,3075,34.04211,-118.256187,3000,0.0,0.0,19011,electric
52,2020-10-01 18:03:00,2020-10-01 18:55:00,3036,34.039188,-118.232529,3026,34.063179,-118.24588,6646,standard
112,2020-10-01 18:05:00,2020-10-01 19:57:00,3008,34.046612,-118.262733,3011,34.04113,-118.267982,19504,electric
26,2020-10-01 18:06:00,2020-10-01 18:32:00,4491,34.04744,-118.24794,4447,34.0616,-118.28199,12441,standard
4,2020-10-01 18:13:00,2020-10-01 18:17:00,3033,34.040989,-118.255798,3075,34.04211,-118.256187,6352,standard
11,2020-10-01 18:13:00,2020-10-01 18:24:00,3049,34.056969,-118.253593,3035,34.048401,-118.260948,12128,standard
13,2020-10-01 18:16:00,2020-10-01 18:29:00,3032,34.049889,-118.255882,3034,34.042061,-118.263382,6097,standard
12,2020-10-01 18:18:00,2020-10-01 18:30:00,3063,34.048038,-118.253738,3052,34.051102,-118.264557,19115,electric
9,2020-10-01 18:19:00,2020-10-01 18:28:00,3081,34.031891,-118.250183,3074,34.04417,-118.261169,6022,standard
4,2020-10-01 18:23:00,2020-10-01 18:27:00,3018,34.043732,-118.260139,3064,34.046131,-118.257591,19956,electric
5,2020-10-01 18:24:00,2020-10-01 18:29:00,4301,34.099049,-118.291496,4437,34.105358,-118.28727,12393,standard
26,2020-10-01 18:27:00,2020-10-01 18:53:00,4482,34.094372,-118.331009,4482,34.094372,-118.331009,18833,electric
